               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097156,            0.037827,                   0,            0.032906,             0.12812,            0.015559,           0.0037279,            0.080247,            0.023502,                   0,             0.00155,             0.00155,             0.08605
                   1,            0.072206,            0.032054,                   0,             0.49073,             0.52643,             0.38305,             0.14248,            0.056039,            0.016819,                   0,           0.0030484,           0.0030484,            0.071948
                   2,            0.059978,            0.026077,                   0,             0.56488,             0.60132,             0.46977,             0.20739,            0.051154,            0.016374,                   0,           0.0044851,           0.0044851,            0.057785
                   3,             0.05382,            0.025032,                   0,             0.64139,             0.62041,             0.56438,              0.2432,            0.047903,            0.013656,                   0,           0.0058599,           0.0058599,             0.04356
                   4,            0.050082,            0.023993,                   0,             0.72226,             0.60756,              0.6191,               0.333,            0.044452,             0.01456,                   0,            0.007173,            0.007173,            0.029273
                   5,             0.04616,             0.02325,                   0,             0.71944,             0.64013,             0.62616,             0.34252,            0.043506,            0.013301,                   0,           0.0084244,           0.0084244,            0.014924
                   6,            0.043727,            0.022949,                   0,             0.67957,             0.65554,             0.61408,             0.32997,            0.043532,            0.012861,                   0,            0.008812,            0.008812,            0.008812
                   7,            0.042038,            0.022353,                   0,             0.71239,             0.62482,             0.63921,             0.37752,            0.039986,            0.013222,                   0,            0.008812,            0.008812,            0.008812
                   8,              0.0407,            0.022357,                   0,             0.70184,             0.67988,             0.66814,             0.40008,            0.038608,            0.012889,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.039444,            0.021756,                   0,             0.73185,             0.65526,             0.67774,             0.40358,            0.038806,            0.012978,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.038557,            0.021447,                   0,             0.72247,              0.6785,             0.68057,             0.41283,            0.037903,            0.011942,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.037759,            0.021037,                   0,             0.73106,             0.67758,             0.67713,             0.41068,            0.038264,            0.012299,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.037274,            0.020953,                   0,             0.70456,              0.6461,             0.64384,             0.39496,            0.037599,            0.012845,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.037023,            0.020698,                   0,             0.74128,             0.66686,             0.68326,             0.42608,             0.03705,             0.01219,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.036523,            0.020619,                   0,             0.73002,             0.68429,             0.69742,             0.44088,            0.035767,            0.011807,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.03622,            0.020746,                   0,             0.73466,             0.68612,             0.68789,              0.4281,            0.035952,            0.011888,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.035859,            0.020587,                   0,             0.75338,             0.69126,             0.70644,             0.44344,            0.035598,            0.011718,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.035742,            0.020391,                   0,             0.75768,             0.66263,             0.69091,             0.42926,             0.03666,            0.011758,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.035193,            0.020202,                   0,             0.74251,             0.68429,             0.69594,             0.44386,            0.034857,            0.011749,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.035012,            0.019976,                   0,             0.75094,             0.68429,             0.71697,             0.46519,            0.034858,            0.011438,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.034941,            0.020049,                   0,             0.75036,             0.69347,             0.71037,             0.45763,            0.034569,             0.01204,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034552,            0.019843,                   0,             0.74277,             0.69962,             0.70771,              0.4596,            0.034173,            0.011413,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.034488,            0.020121,                   0,             0.74395,             0.71142,             0.72527,             0.47227,             0.03398,            0.011389,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.034449,            0.019908,                   0,             0.76535,             0.68649,             0.71867,             0.46569,            0.034583,            0.011415,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.03393,            0.019633,                   0,             0.74663,             0.69493,             0.71231,             0.46674,            0.033822,            0.011707,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.033643,            0.019819,                   0,             0.76013,             0.70411,             0.72719,             0.47533,            0.033849,             0.01157,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.033541,            0.019639,                   0,             0.76012,             0.73091,               0.738,             0.48031,            0.033455,             0.01126,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03361,            0.019848,                   0,             0.76203,              0.6953,             0.71994,             0.47261,            0.033762,            0.011234,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.033523,            0.019425,                   0,              0.7418,               0.721,             0.72062,             0.47092,            0.033515,            0.011477,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.033309,            0.019405,                   0,             0.76749,             0.69799,             0.72848,             0.47929,            0.033199,            0.011342,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.032942,            0.019539,                   0,             0.75874,             0.71476,             0.73066,             0.48123,            0.033016,            0.011275,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.032903,            0.019261,                   0,             0.77444,             0.70595,              0.7364,             0.48572,            0.033028,            0.011041,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.03273,            0.019095,                   0,             0.76281,             0.70631,             0.73349,             0.48384,            0.032932,            0.011236,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.032778,             0.01903,                   0,             0.76906,             0.70925,             0.73115,             0.48456,            0.032636,            0.011321,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.032564,            0.019209,                   0,             0.74791,              0.7341,             0.73214,              0.4866,            0.032492,             0.01135,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.032384,            0.019087,                   0,             0.75877,             0.72137,             0.73879,             0.49432,            0.032466,            0.011118,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.032227,             0.01912,                   0,             0.76268,             0.73736,             0.74857,             0.50063,            0.032198,            0.011022,                   0,             0.00307,             0.00307,             0.00307
                  37,              0.0322,            0.019149,                   0,             0.77451,             0.72124,             0.74925,             0.49918,            0.032163,            0.010956,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.031837,            0.018848,                   0,             0.77599,             0.72283,             0.74773,             0.49919,            0.032131,            0.010953,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.031651,            0.018604,                   0,             0.75959,             0.73304,             0.74608,             0.49775,            0.032213,            0.011121,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.031787,            0.018825,                   0,             0.77928,             0.71806,             0.74605,             0.50056,            0.031862,            0.011091,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.031689,            0.018704,                   0,              0.7617,             0.73128,             0.74747,             0.50097,            0.031956,            0.011073,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.03172,            0.018718,                   0,             0.76446,             0.73091,             0.74504,             0.49797,            0.031905,            0.011133,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.03136,            0.018953,                   0,             0.77121,             0.72173,             0.74715,             0.50083,            0.031824,            0.011008,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.031594,            0.018665,                   0,              0.7695,             0.72687,             0.74839,             0.50098,            0.031935,            0.010966,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.031454,            0.018611,                   0,             0.76548,             0.73532,              0.7497,             0.50354,            0.031812,            0.010984,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.031089,            0.018519,                   0,             0.75988,             0.74117,             0.75101,             0.50441,            0.031737,            0.011027,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.030968,            0.018654,                   0,             0.74622,             0.74596,             0.74559,             0.50187,            0.031677,            0.011076,                   0,            0.000892,            0.000892,            0.000892
