               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084387,            0.043628,                   0,             0.34381,             0.58003,             0.28906,             0.10175,            0.057425,            0.020073,                   0,            0.003312,            0.003312,            0.070192
                   1,            0.059402,            0.030938,                   0,             0.50924,              0.5569,             0.40832,             0.19018,            0.044289,            0.021364,                   0,           0.0065137,           0.0065137,            0.040061
                   2,            0.048006,            0.027993,                   0,             0.69746,             0.67291,             0.68728,             0.38819,            0.039884,              0.0167,                   0,           0.0095835,           0.0095835,           0.0097972
                   3,            0.041437,            0.026539,                   0,             0.65526,             0.67474,             0.62829,             0.37529,            0.037102,            0.015544,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.03804,            0.025426,                   0,             0.66922,             0.66924,              0.6535,             0.39685,            0.035595,            0.015361,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.036241,            0.024733,                   0,              0.6814,             0.71696,             0.70632,             0.45252,            0.033981,            0.015471,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.035256,            0.024259,                   0,             0.69164,             0.67768,             0.67944,             0.43226,            0.034412,            0.015086,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.034481,            0.024311,                   0,             0.72951,             0.69604,              0.6962,             0.43864,            0.033854,            0.015057,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.033894,            0.023734,                   0,              0.7073,             0.70346,             0.71454,             0.46741,            0.032699,            0.014341,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.033168,            0.023344,                   0,             0.68882,             0.72159,             0.71634,             0.47044,            0.032375,            0.014818,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.032735,            0.023312,                   0,             0.73638,             0.70595,             0.70895,             0.46517,             0.03197,            0.014257,                   0,            0.008218,            0.008218,            0.008218
